0 1 3 5 7 6 9 8 0 4 2 
1 2 4 6 8 5 9 7 0 3 1 
2 3 5 7 9 4 8 6 1 2 0 
3 4 6 8 9 3 7 5 2 1 0 
4 5 7 9 8 3 6 4 2 1 0 
5 6 8 9 7 4 5 3 2 1 0 
6 7 9 8 6 5 4 3 2 1 0 
7 8 9 7 6 5 4 3 2 1 0 
8 9 8 7 6 5 4 3 2 1 0 
9 9 8 7 6 5 4 3 2 1 0 
